0.0000000	0.0000000
0.0001400	0.0018200
0.0005400	0.0036600
0.0012200	0.0054600
0.0021600	0.0072400
0.0033800	0.0090200
0.0048700	0.0107700
0.0066200	0.0124800
0.0086400	0.0141700
0.0109200	0.0158400
0.0134800	0.0174500
0.0162900	0.0190500
0.0193700	0.0206100
0.0227000	0.0221300
0.0263000	0.0236300
0.0301500	0.0250900
0.0342600	0.0265100
0.0386100	0.0279200
0.0432200	0.0292900
0.0480800	0.0306500
0.0531800	0.0319800
0.0585200	0.0332900
0.0641100	0.0345700
0.0699200	0.0358400
0.0759800	0.0370800
0.0822600	0.0383200
0.0887700	0.0395100
0.0955000	0.0407100
0.1024500	0.0418700
0.1096100	0.0430200
0.1169900	0.0441500
0.1245800	0.0452500
0.1323700	0.0463400
0.1403600	0.0473900
0.1485400	0.0484400
0.1569200	0.0494500
0.1654800	0.0504500
0.1742200	0.0514000
0.1831400	0.0523500
0.1922300	0.0532700
0.2014900	0.0541600
0.2109200	0.0550300
0.2205000	0.0558700
0.2302300	0.0566700
0.2401100	0.0574600
0.2501300	0.0582000
0.2602900	0.0589300
0.2705800	0.0596200
0.2809900	0.0602800
0.2915200	0.0608900
0.3021700	0.0614600
0.3129300	0.0620100
0.3237800	0.0625100
0.3347400	0.0629700
0.3457900	0.0633800
0.3569200	0.0637500
0.3681300	0.0640900
0.3794100	0.0643700
0.3907600	0.0646100
0.4021700	0.0648100
0.4136300	0.0649600
0.4251500	0.0650600
0.4367000	0.0651300
0.4482900	0.0651400
0.4599200	0.0651200
0.4715600	0.0650600
0.4832200	0.0649400
0.4949000	0.0647900
0.5065800	0.0645900
0.5182500	0.0643500
0.5299200	0.0640700
0.5415800	0.0637200
0.5532100	0.0633600
0.5648200	0.0629400
0.5763900	0.0624700
0.5879300	0.0619500
0.5994200	0.0613800
0.6108600	0.0607600
0.6222400	0.0600800
0.6335600	0.0593600
0.6448100	0.0585800
0.6559900	0.0577500
0.6670800	0.0568500
0.6780800	0.0559000
0.6889900	0.0548900
0.6998000	0.0538300
0.7105100	0.0527200
0.7211000	0.0515500
0.7315800	0.0503400
0.7419400	0.0490900
0.7521600	0.0477900
0.7622600	0.0464600
0.7722100	0.0451000
0.7820200	0.0437200
0.7916800	0.0423200
0.8011900	0.0409200
0.8105400	0.0395100
0.8197200	0.0380900
0.8287300	0.0366900
0.8375700	0.0353100
0.8462300	0.0339300
0.8547000	0.0325900
0.8629900	0.0312700
0.8710800	0.0299800
0.8789800	0.0287200
0.8866700	0.0274800
0.8941600	0.0262700
0.9014400	0.0250700
0.9085000	0.0238900
0.9153500	0.0227300
0.9219800	0.0215700
0.9283800	0.0204100
0.9345500	0.0192400
0.9405000	0.0180700
0.9462100	0.0168800
0.9516800	0.0156800
0.9569000	0.0144900
0.9618900	0.0132700
0.9666300	0.0120400
0.9711200	0.0108100
0.9753600	0.0095600
0.9793500	0.0083400
0.9830800	0.0071100
0.9865500	0.0059000
0.9897700	0.0046900
0.9927200	0.0035000
0.9954100	0.0023200
0.9978400	0.0011500
1.0000000	0.0000000
0.0000000	0.0000000
0.0001400	-0.0015500
0.0005400	-0.0030600
0.0012200	-0.0045700
0.0021600	-0.0060500
0.0033800	-0.0074900
0.0048700	-0.0089300
0.0066200	-0.0103200
0.0086400	-0.0116800
0.0109200	-0.0130200
0.0134800	-0.0143100
0.0162900	-0.0155800
0.0193700	-0.0168100
0.0227000	-0.0180100
0.0263000	-0.0191900
0.0301500	-0.0203400
0.0342600	-0.0214600
0.0386100	-0.0225700
0.0432200	-0.0236500
0.0480800	-0.0247300
0.0531800	-0.0257700
0.0585200	-0.0268200
0.0641100	-0.0278500
0.0699200	-0.0288600
0.0759800	-0.0298600
0.0822600	-0.0308600
0.0887700	-0.0318300
0.0955000	-0.0328100
0.1024500	-0.0337600
0.1096100	-0.0347000
0.1169900	-0.0356200
0.1245800	-0.0365400
0.1323700	-0.0374300
0.1403600	-0.0382900
0.1485400	-0.0391300
0.1569200	-0.0399600
0.1654800	-0.0407700
0.1742200	-0.0415400
0.1831400	-0.0422900
0.1922300	-0.0430100
0.2014900	-0.0437100
0.2109200	-0.0443700
0.2205000	-0.0450000
0.2302300	-0.0456000
0.2401100	-0.0461600
0.2501300	-0.0466700
0.2602900	-0.0471600
0.2705800	-0.0476000
0.2809900	-0.0480000
0.2915200	-0.0483500
0.3021700	-0.0486400
0.3129300	-0.0489000
0.3237800	-0.0491000
0.3347400	-0.0492500
0.3457900	-0.0493400
0.3569200	-0.0493800
0.3681300	-0.0493600
0.3794100	-0.0492700
0.3907600	-0.0491400
0.4021700	-0.0489400
0.4136300	-0.0486700
0.4251500	-0.0483500
0.4367000	-0.0479700
0.4482900	-0.0475200
0.4599200	-0.0469900
0.4715600	-0.0464100
0.4832200	-0.0457600
0.4949000	-0.0450500
0.5065800	-0.0442700
0.5182500	-0.0434200
0.5299200	-0.0425000
0.5415800	-0.0415200
0.5532100	-0.0404700
0.5648200	-0.0393500
0.5763900	-0.0381600
0.5879300	-0.0369200
0.5994200	-0.0356100
0.6108600	-0.0342400
0.6222400	-0.0328000
0.6335600	-0.0313200
0.6448100	-0.0297900
0.6559900	-0.0282100
0.6670800	-0.0266000
0.6780800	-0.0249400
0.6889900	-0.0232700
0.6998000	-0.0215600
0.7105100	-0.0198400
0.7211000	-0.0181100
0.7315800	-0.0163900
0.7419400	-0.0146600
0.7521600	-0.0129600
0.7622600	-0.0112700
0.7722100	-0.0096000
0.7820200	-0.0079700
0.7916800	-0.0063800
0.8011900	-0.0048400
