"Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
          79,      -2.307941484,      0.1290177497,      0.3505512978,      0.1680926361
          80,      -2.306939299,      0.1284618834,      0.3539361329,      0.1694964195
          81,      -2.305369534,      0.1280286311,      0.3575062052,       0.170939551
          82,      -2.303537678,      0.1276990014,      0.3612751771,      0.1724219643
          83,      -2.301721349,      0.1274574938,      0.3652502817,      0.1739408514
          84,      -2.300170405,      0.1272923837,      0.3694320965,      0.1754910581
          85,      -2.299095816,      0.1271956116,      0.3738133506,      0.1770647428
          86,      -2.298680288,      0.1271619833,      0.3783768971,      0.1786503749
          87,      -2.299078301,      0.1271885938,      0.3830965715,      0.1802337998
          88,      -2.300399018,      0.1272743337,       0.387937595,      0.1817989565
          89,      -2.302733695,      0.1274199184,      0.3928593671,      0.1833301861
          90,      -2.306108735,      0.1276269571,      0.3978158085,      0.1848126424
          91,      -2.310527102,      0.1278952031,      0.4027517951,      0.1862294068
          92,      -2.315921958,      0.1282242915,      0.4076108099,      0.1875665589
          93,       -2.32219359,      0.1286133909,      0.4123374547,       0.188814234
          94,      -2.329192736,      0.1290596722,      0.4168775355,      0.1899653937
          95,      -2.336754484,      0.1295588015,      0.4211830653,      0.1910183179
          96,      -2.344693175,      0.1301037278,      0.4252120079,      0.1919749152
          97,      -2.352801272,      0.1306841497,      0.4289296865,      0.1928401165
          98,      -2.360819281,      0.1312868774,      0.4323114154,       0.193622006
          99,      -2.368469988,      0.1318966666,      0.4353451353,      0.1943321404
         100,      -2.375451254,      0.1324964398,      0.4380316337,      0.1949843962
         101,      -2.381460666,      0.1330648892,      0.4403770048,      0.1955883919
         102,      -2.386195306,       0.133582157,      0.4424044436,       0.196157958
         103,      -2.389354683,      0.1340288366,      0.4441471303,      0.1967061476
         104,      -2.390657383,      0.1343863003,       0.445645168,      0.1972438242
         105,      -2.389869338,      0.1346391548,      0.4469477003,      0.1977827815
         106,       -2.38683813,      0.1347752069,      0.4481076397,      0.1983334292
         107,      -2.381475382,      0.1347854134,      0.4491779665,      0.1989035878
         108,       -2.37372708,      0.1346646657,      0.4502101106,      0.1994992823
         109,      -2.363575169,      0.1344129465,       0.451254699,      0.2001270577
         110,      -2.351133986,      0.1340315577,      0.4523501914,      0.2007869778
         111,      -2.336744014,      0.1335264591,      0.4535316153,      0.2014802089
         112,      -2.321005604,      0.1329061249,      0.4548249194,      0.2022057391
         113,      -2.304727273,      0.1321821943,      0.4562501937,       0.202963304
         114,      -2.288724234,       0.131368039,      0.4578194649,      0.2037518229
         115,      -2.273682812,      0.1304780992,      0.4595373698,      0.2045697246
         116,      -2.260104188,      0.1295272684,      0.4614015315,      0.2054147009
         117,      -2.248274818,      0.1285280565,      0.4633970324,      0.2062790284
         118,      -2.238261165,      0.1274944625,      0.4655082764,      0.2071576314
         119,      -2.229913644,      0.1264392989,      0.4677133982,      0.2080432473
         120,      -2.222868666,      0.1253756898,      0.4699895748,      0.2089297246
         121,      -2.216582865,      0.1243158581,      0.4723118866,       0.209810444
         122,      -2.210375501,      0.1232726312,      0.4746575296,      0.2106809773
         123,        -2.2035101,      0.1232222351,      0.4748015168,      0.2107330479
         124,       -2.21006701,      0.1231684064,      0.4749543013,       0.210788246
         125,      -2.216508957,      0.1231109644,       0.475116297,      0.2108466989
         126,      -2.222713627,      0.1230497237,      0.4752879367,      0.2109085415
         127,      -2.228482038,      0.1229844913,      0.4754696571,      0.2109739054
         128,      -2.233554348,      0.1229150687,      0.4756619063,      0.2110429246
         129,      -2.237636451,      0.1228412547,      0.4758651461,      0.2111157378
         130,      -2.240446091,      0.1227628443,      0.4760798491,      0.2111924859
         131,      -2.241764431,      0.1226796294,      0.4763064982,      0.2112733123
         132,      -2.241494294,      0.1225914015,       0.476545589,      0.2113583642
         133,      -2.239697884,      0.1224979512,       0.476797629,       0.211447793
         134,      -2.236602531,      0.1223990675,       0.477063129,      0.2115417481
         135,      -2.232581745,      0.1222945405,      0.4773426043,      0.2116403778
         136,      -2.228103909,      0.1221841606,      0.4776365735,       0.211743829
         137,      -2.223667079,      0.1220677203,      0.4779455566,      0.2118522451
         138,      -2.219733345,      0.1219450164,      0.4782700674,      0.2119657636
         139,      -2.216672725,      0.1218158421,      0.4786105917,      0.2120844988
         140,      -2.214723816,      0.1216800065,      0.4789676262,      0.2122085731
         141,      -2.213969578,      0.1215373254,      0.4793416603,      0.2123381045
         142,      -2.214341093,      0.1213876203,      0.4797331633,      0.2124732034
         143,      -2.215638455,      0.1212307251,      0.4801425908,      0.2126139785
         144,      -2.217564034,      0.1210664867,      0.4805703833,      0.2127605409
         145,      -2.219770437,      0.1208947677,      0.4810169641,      0.2129130075
         146,      -2.221914699,       0.120715434,      0.4814826886,      0.2130714653
         147,      -2.223692588,      0.1205283903,      0.4819679175,      0.2132360284
         148,      -2.224862318,      0.1203335712,      0.4824729749,      0.2134068041
         149,      -2.225243556,      0.1201309474,      0.4829981357,      0.2135838789
         150,      -2.224706305,      0.1199205361,      0.4835436291,       0.213767313
         151,      -2.223153419,      0.1197024178,      0.4841096055,      0.2139571087
         152,       -2.22051721,      0.1194768087,       0.484696301,      0.2141533211
         153,      -2.216774526,      0.1192439898,       0.485303786,      0.2143558712
         154,      -2.211962385,      0.1190043695,      0.4859320142,      0.2145645914
         155,      -2.206174772,      0.1187583428,      0.4865804257,      0.2147789536
         156,      -2.199565274,      0.1185064661,      0.4872482654,      0.2149983326
         157,      -2.192321476,      0.1182493553,      0.4879342251,      0.2152217894
         158,      -2.184622937,      0.1179880361,      0.4886372123,      0.2154486792
         159,      -2.176621107,      0.1177235277,      0.4893550976,      0.2156777717
         160,      -2.168412196,      0.1174571829,      0.4900854277,      0.2159077961
         161,      -2.160037635,       0.117190575,      0.4908249596,      0.2161370969
         162,      -2.151501261,      0.1169255787,      0.4915697669,      0.2163636715
         163,      -2.142788699,       0.116664478,         0.4923154,      0.2165852227
         164,      -2.133886459,      0.1164098871,      0.4930565369,      0.2167988552
         165,      -2.124809145,       0.116165328,      0.4937886575,      0.2170022148
         166,      -2.115609467,      0.1159345601,      0.4945060803,      0.2171920075
         167,      -2.106377949,      0.1157215296,      0.4952017591,      0.2173638089
         168,      -2.097237005,        0.11553074,      0.4958681881,      0.2175127366
         169,       -2.08834458,      0.1153677514,      0.4964993794,        0.21763479
         170,      -2.079879014,      0.1152383035,      0.4970883666,      0.2177250569
         171,      -2.072027848,      0.1151478937,      0.4976269924,      0.2177775138
         172,      -2.064967552,      0.1151021731,      0.4981078887,       0.217786497
         173,      -2.058892978,      0.1151061427,      0.4985233586,      0.2177459905
         174,      -2.053983565,      0.1151631739,      0.4988646048,      0.2176490723
         175,       -2.05041435,      0.1152756606,      0.4991266704,      0.2174915413
         176,      -2.048340379,      0.1154431871,      0.4993050957,      0.2172696903
         177,      -2.047910331,      0.1156612424,      0.4993953258,      0.2169798672
         178,      -2.049269064,      0.1159214434,       0.499397987,      0.2166220669
